----- Tajima's D -----
Population	Average	Standard deviation
BEB (Bengali)	nan	nan

chromosome  start_position  end_position  tajimas_d_BEB
         1             123         12435            NaN
         1           12436         24748            NaN
         1           24749         37061            NaN
         1           37062         49374            NaN
         1           49375         61687            NaN
         1           61688         74000            NaN
         1           74001         86313            NaN
         1           86314         98626            NaN
         1           98627        110939            NaN
         1          110940        123252            NaN
         1          123253        135565            NaN
         1          135566        147878            NaN
         1          147879        160191            NaN
         1          160192        172504            NaN
         1          172505        184817            NaN
         1          184818        197130            NaN
         1          197131        209443            NaN
         1          209444        221756            NaN
         1          221757        234069            NaN
         1          234070        246382            NaN
         1          246383        258695            NaN
         1          258696        271008            NaN
         1          271009        283321            NaN
         1          283322        295634            NaN
         1          295635        307947            NaN
         1          307948        320260            NaN
         1          320261        332573            NaN
         1          332574        344886            NaN
         1          344887        357199            NaN
         1          357200        369512            NaN
         1          369513        381825            NaN
         1          381826        394138            NaN
         1          394139        406451            NaN
         1          406452        418764            NaN
         1          418765        431077            NaN
         1          431078        443390            NaN
         1          443391        455703            NaN
         1          455704        468016            NaN
         1          468017        480329            NaN
         1          480330        492642            NaN
         1          492643        504955            NaN
         1          504956        517268            NaN
         1          517269        529581            NaN
         1          529582        541894            NaN
         1          541895        554207            NaN
         1          554208        566520            NaN
         1          566521        578833            NaN
         1          578834        591146            NaN
         1          591147        603459            NaN
         1          603460        615772            NaN
         1          615773        628085            NaN
         1          628086        640398            NaN
         1          640399        652711            NaN
         1          652712        665024            NaN
         1          665025        677337            NaN
         1          677338        689650            NaN
         1          689651        701963            NaN
         1          701964        714276            NaN
         1          714277        726589            NaN
         1          726590        738902            NaN
         1          738903        751215            NaN
         1          751216        763528            NaN
         1          763529        775841            NaN
         1          775842        788154            NaN
         1          788155        800467            NaN
         1          800468        812780            NaN
         1          812781        825093            NaN
         1          825094        837406            NaN
         1          837407        849719            NaN
         1          849720        862032            NaN
         1          862033        874345            NaN
         1          874346        886658            NaN
         1          886659        898971            NaN
         1          898972        911284            NaN
         1          911285        923597            NaN
         1          923598        935910            NaN
         1          935911        948223            NaN
         1          948224        960536            NaN
         1          960537        972849            NaN
         1          972850        985162            NaN
         1          985163        997475            NaN
         1          997476       1009788            NaN
         1         1009789       1022101            NaN
         1         1022102       1034414            NaN
         1         1034415       1046727            NaN
         1         1046728       1059040            NaN
         1         1059041       1071353            NaN
         1         1071354       1083666            NaN
         1         1083667       1095979            NaN
         1         1095980       1108292            NaN
         1         1108293       1120605            NaN
         1         1120606       1132918            NaN
         1         1132919       1145231            NaN
         1         1145232       1157544            NaN
         1         1157545       1169857            NaN
         1         1169858       1182170            NaN
         1         1182171       1194483            NaN
         1         1194484       1206796            NaN
         1         1206797       1219109            NaN
         1         1219110       1231422            NaN
         1         1231423       1243735            NaN
         1         1243736       1256048            NaN
         1         1256049       1268361            NaN
         1         1268362       1280674            NaN
         1         1280675       1292987            NaN
         1         1292988       1305300            NaN
         1         1305301       1317613            NaN
         1         1317614       1329926            NaN
         1         1329927       1342239            NaN
         1         1342240       1354552            NaN
         1         1354553       1366865            NaN
         1         1366866       1379178            NaN
         1         1379179       1391491            NaN
         1         1391492       1403804            NaN
         1         1403805       1416117            NaN
         1         1416118       1428430            NaN
         1         1428431       1440743            NaN
         1         1440744       1453056            NaN
         1         1453057       1465369            NaN
         1         1465370       1477682            NaN
         1         1477683       1489995            NaN
         1         1489996       1502308            NaN
         1         1502309       1514621            NaN
         1         1514622       1526934            NaN
         1         1526935       1539247            NaN
         1         1539248       1551560            NaN
         1         1551561       1563873            NaN
         1         1563874       1576186            NaN
         1         1576187       1588499            NaN
         1         1588500       1600812            NaN
         1         1600813       1613125            NaN
         1         1613126       1625438            NaN
         1         1625439       1637751            NaN
         1         1637752       1650064            NaN
         1         1650065       1662377            NaN
         1         1662378       1674690            NaN
         1         1674691       1687003            NaN
         1         1687004       1699316            NaN
         1         1699317       1711629            NaN
         1         1711630       1723942            NaN
         1         1723943       1736255            NaN
         1         1736256       1748568            NaN
         1         1748569       1760881            NaN
         1         1760882       1773194            NaN
         1         1773195       1785507            NaN
         1         1785508       1797820            NaN
         1         1797821       1810133            NaN
         1         1810134       1822446            NaN
         1         1822447       1834759            NaN
         1         1834760       1847072            NaN
         1         1847073       1859385            NaN
         1         1859386       1871698            NaN
         1         1871699       1884011            NaN
         1         1884012       1896324            NaN
         1         1896325       1908637            NaN
         1         1908638       1920950            NaN
         1         1920951       1933263            NaN
         1         1933264       1945576            NaN
         1         1945577       1957889            NaN
         1         1957890       1970202            NaN
         1         1970203       1982515            NaN
         1         1982516       1994828            NaN
         1         1994829       2007141            NaN
         1         2007142       2019454            NaN
         1         2019455       2031767            NaN
         1         2031768       2044080            NaN
         1         2044081       2056393            NaN
         1         2056394       2068706            NaN
         1         2068707       2081019            NaN
         1         2081020       2093332            NaN
         1         2093333       2105645            NaN
         1         2105646       2117958            NaN
         1         2117959       2130271            NaN
         1         2130272       2142584            NaN
         1         2142585       2154897            NaN
         1         2154898       2167210            NaN
         1         2167211       2179523            NaN
         1         2179524       2191836            NaN
         1         2191837       2204149            NaN
         1         2204150       2216462            NaN
         1         2216463       2228775            NaN
         1         2228776       2241088            NaN
         1         2241089       2253401            NaN
         1         2253402       2265714            NaN
         1         2265715       2278027            NaN
         1         2278028       2290340            NaN
         1         2290341       2302653            NaN
         1         2302654       2314966            NaN
         1         2314967       2327279            NaN
         1         2327280       2339592            NaN
         1         2339593       2351905            NaN
         1         2351906       2364218            NaN
         1         2364219       2376531            NaN
         1         2376532       2388844            NaN
         1         2388845       2401157            NaN
         1         2401158       2413470            NaN
         1         2413471       2425783            NaN
         1         2425784       2438096            NaN
         1         2438097       2450409            NaN
         1         2450410       2462722            NaN
         1         2462723       2475035            NaN
         1         2475036       2487348            NaN
         1         2487349       2499661            NaN
         1         2499662       2511974            NaN
         1         2511975       2524287            NaN
         1         2524288       2536600            NaN
         1         2536601       2548913            NaN
         1         2548914       2561226            NaN
         1         2561227       2573539            NaN
         1         2573540       2585852            NaN
         1         2585853       2598165            NaN
         1         2598166       2610478            NaN
         1         2610479       2622791            NaN
         1         2622792       2635104            NaN
         1         2635105       2647417            NaN
         1         2647418       2659730            NaN
         1         2659731       2672043            NaN
         1         2672044       2684356            NaN
         1         2684357       2696669            NaN
         1         2696670       2708982            NaN
         1         2708983       2721295            NaN
         1         2721296       2733608            NaN
         1         2733609       2745921            NaN
         1         2745922       2758234            NaN
         1         2758235       2770547            NaN
         1         2770548       2782860            NaN
         1         2782861       2795173            NaN
         1         2795174       2807486            NaN
         1         2807487       2819799            NaN
         1         2819800       2832112            NaN
         1         2832113       2844425            NaN
         1         2844426       2856738            NaN
         1         2856739       2869051            NaN
         1         2869052       2881364            NaN
